ARTEFACTO;REGWRITE;REGOPEN;REGREAD;PROC;PMFILES;PMURLS;NETHOSTS;NETREQUESTS;FILECREATED;DLLLOADED;COMMANDLINE;DOMAIN;TCP;UDP;FAMILIA
23;001279;00029989;000019795;01003;000001086;0000002480;N/A;N/A;0000000007449;N/A;N/A;N/A;N/A;N/A;2
23;N/A;00030251;000020057;N/A;N/A;0000002742;N/A;N/A;0000000007711;N/A;N/A;N/A;N/A;N/A;2
24;001741;00032890;000025378;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;4
4;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;000000000000005462;2
12;N/A;00021573;000015112;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;4
5;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0000000004189;N/A;N/A;N/A;N/A;N/A;4
4;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;000000000000005181;2
23;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;00000000019027;N/A;N/A;N/A;N/A;N/A;2
24;001737;00032886;000025374;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;4
12;N/A;00024014;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;4
17;N/A;N/A;000016800;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;3
23;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;00000000016572;N/A;N/A;N/A;N/A;N/A;2
5;N/A;00015892;N/A;N/A;N/A;N/A;N/A;N/A;0000000002697;N/A;N/A;N/A;N/A;N/A;4
2;N/A;0008886;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;4
12;N/A;00016598;000010137;N/A;N/A;0000001933;N/A;N/A;0000000005181;N/A;N/A;N/A;N/A;N/A;4
4;N/A;N/A;N/A;N/A;N/A;N/A;00000002228;N/A;N/A;N/A;N/A;N/A;N/A;000000000000002335;2
2;N/A;00010861;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;4
4;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;000000000000003065;2
24;001730;00032879;000025367;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;4
13;N/A;N/A;000015220;0551;00000585;0000002085;00000002516;000000001350;N/A;N/A;N/A;0000000000001571;00000000000001012;000000000000007244;2
5;N/A;00015289;00008569;N/A;N/A;N/A;N/A;N/A;0000000002094;N/A;N/A;N/A;N/A;N/A;4
12;N/A;00021348;000014887;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;4
2;N/A;0006668;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;4
5;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0000000003556;N/A;N/A;N/A;N/A;N/A;4
2;N/A;0002768;00004580;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;4
24;001907;00033056;000025544;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;4
